,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
23236,252,04:54.1,09:06.5,3640,Journal Square,40.733670000000004,-74.0625,3194,McGinley Square,40.72533993,-74.06762213,26177,Subscriber,1987,1
1585,1481,40:49.7,05:31.7,3184,Paulus Hook,40.7141454,-74.0335519,3270,Jersey & 6th St,40.72528911,-74.04557168,29539,Subscriber,1983,1
19555,6059,55:34.3,36:33.8,3275,Columbus Drive,40.718355200000005,-74.03891444,3275,Columbus Drive,40.718355200000005,-74.03891444,26431,Customer,1980,2
8005,187,11:18.7,14:26.2,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,26177,Subscriber,1985,2
19834,769,10:59.6,23:48.9,3276,Marin Light Rail,40.71458404,-74.04281706,3192,Liberty Light Rail,40.711242299999995,-74.0557013,26196,Customer,1969,0
2778,259,13:18.9,17:38.6,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,31847,Subscriber,1988,2
22653,427,13:46.9,20:54.3,3639,Harborside,40.71925170000001,-74.034234,3272,Jersey & 3rd,40.72333159,-74.04595256,31689,Subscriber,1988,1
6942,243,25:10.6,29:14.5,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,29277,Subscriber,1985,2
7914,471,18:17.6,26:09.4,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,29582,Subscriber,1983,1
11918,405,22:16.2,29:01.5,3203,Hamilton Park,40.72759597,-74.04424731,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,33554,Subscriber,1992,1
3351,355,29:38.4,35:33.5,3186,Grove St PATH,40.71958612,-74.04311746,3639,Harborside,40.71925170000001,-74.034234,26295,Subscriber,1992,1
19266,89,20:05.1,21:34.8,3273,Manila & 1st,40.72165072,-74.04288411,3186,Grove St PATH,40.71958612,-74.04311746,26215,Subscriber,1968,1
16844,248,17:28.4,21:37.3,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,29586,Subscriber,1980,1
17708,128,08:10.2,10:18.4,3269,Brunswick & 6th,40.72601173,-74.05038893,3270,Jersey & 6th St,40.72528911,-74.04557168,33619,Subscriber,1978,1
5464,1024,22:52.8,39:57.1,3187,Warren St,40.721123600000006,-74.03805095,3186,Grove St PATH,40.71958612,-74.04311746,31765,Subscriber,1981,1
3702,307,46:28.6,51:35.9,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,31694,Subscriber,1952,1
2770,203,55:55.6,59:18.8,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29592,Subscriber,1976,1
12359,650,44:55.6,55:46.4,3205,JC Medical Center,40.71653978,-74.04963791,3275,Columbus Drive,40.718355200000005,-74.03891444,26230,Customer,1987,1
20428,726,47:56.1,00:02.5,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3185,City Hall,40.717732500000004,-74.04384499999999,29662,Subscriber,1986,2
21871,450,49:30.1,57:00.8,3481,York St,40.71649,-74.04105,3211,Newark Ave,40.72152515,-74.04630454,33594,Subscriber,1982,1
16385,218,59:55.7,03:34.1,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3206,Hilltop,40.7311689,-74.0575736,29586,Subscriber,1988,2
23583,617,20:56.8,31:14.4,3681,Grand St,40.71517768,-74.03768331,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,26290,Customer,1969,0
1420,477,25:28.6,33:26.1,3184,Paulus Hook,40.7141454,-74.0335519,3203,Hamilton Park,40.72759597,-74.04424731,31709,Subscriber,1976,1
6647,772,46:21.2,59:13.2,3193,Lincoln Park,40.724605100000005,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,29293,Subscriber,1985,2
19991,284,49:04.2,53:48.9,3276,Marin Light Rail,40.71458404,-74.04281706,3183,Exchange Place,40.7162469,-74.0334588,26166,Subscriber,1985,1
23408,775,59:02.5,11:58.1,3678,Fairmount Ave,40.72572614,-74.07195926,3211,Newark Ave,40.72152515,-74.04630454,26160,Subscriber,1989,1
18169,128,39:16.1,41:24.2,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,29308,Subscriber,1987,1
1791,568,23:06.1,32:34.8,3184,Paulus Hook,40.7141454,-74.0335519,3203,Hamilton Park,40.72759597,-74.04424731,33650,Subscriber,1994,1
12945,313,58:34.3,03:48.0,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.73074263,-74.06378388,26178,Subscriber,1976,2
11825,301,12:59.3,18:00.3,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.721123600000006,-74.03805095,29245,Subscriber,1991,1
17906,223,19:39.5,23:22.6,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,29634,Subscriber,1976,1
15275,175,11:55.7,14:51.2,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,33621,Subscriber,1984,1
4250,182,37:34.0,40:36.9,3186,Grove St PATH,40.71958612,-74.04311746,3272,Jersey & 3rd,40.72333159,-74.04595256,31925,Subscriber,1990,1
12652,256,24:31.2,28:47.9,3206,Hilltop,40.7311689,-74.0575736,3212,Christ Hospital,40.73478582,-74.05044364,26272,Subscriber,1986,2
21954,357,19:13.9,25:11.3,3638,Washington St,40.7242941,-74.0354826,3211,Newark Ave,40.72152515,-74.04630454,26172,Subscriber,1964,1
14942,193,51:32.1,54:45.3,3213,Van Vorst Park,40.71848892,-74.04772663,3272,Jersey & 3rd,40.72333159,-74.04595256,26230,Subscriber,1962,1
10982,703,33:24.9,45:08.6,3203,Hamilton Park,40.72759597,-74.04424731,3638,Washington St,40.7242941,-74.0354826,26193,Customer,1969,0
9013,275,50:09.8,54:45.4,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3638,Washington St,40.7242941,-74.0354826,26256,Subscriber,1972,1
19565,84,36:53.3,38:17.5,3275,Columbus Drive,40.718355200000005,-74.03891444,3187,Warren St,40.721123600000006,-74.03805095,31719,Subscriber,1978,1
13095,264,57:36.4,02:01.2,3207,Oakland Ave,40.7376037,-74.05247829999999,3640,Journal Square,40.733670000000004,-74.0625,29530,Subscriber,1983,1
4660,231,15:03.1,18:54.7,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,26155,Subscriber,1992,1
6191,392,06:22.4,12:55.3,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,26229,Subscriber,1992,1
