,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
31306,439,18:32.6,25:52.0,3270,Jersey & 6th St,40.72528911,-74.04557168,3276,Marin Light Rail,40.71458404,-74.04281706,26265,Subscriber,1970,1
39126,266,39:36.9,44:03.4,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958612,-74.04311746,29639,Subscriber,1988,1
13937,282,23:23.6,28:06.4,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,29479,Subscriber,1990,1
18452,853,24:29.7,38:43.5,3202,Newport PATH,40.7272235,-74.03375890000001,3184,Paulus Hook,40.7141454,-74.0335519,33650,Subscriber,1969,0
8833,557,36:31.6,45:48.9,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.05065640000001,29435,Subscriber,1967,1
817,377,08:46.7,15:04.1,3183,Exchange Place,40.7162469,-74.0334588,3273,Manila & 1st,40.72165072,-74.04288411,26212,Subscriber,1980,1
4104,264,38:13.8,42:38.6,3185,City Hall,40.717732500000004,-74.04384499999999,3184,Paulus Hook,40.7141454,-74.0335519,26153,Subscriber,1991,1
33599,241,33:21.2,37:22.6,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,29468,Subscriber,1984,1
24388,341,44:13.3,49:54.6,3210,Pershing Field,40.74267714,-74.05178863,3640,Journal Square,40.733670000000004,-74.0625,29532,Subscriber,1985,1
33729,244,23:46.0,27:50.4,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,29439,Subscriber,1986,1
6160,273,07:23.9,11:57.8,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,33602,Subscriber,1983,1
5003,218,37:14.3,40:52.7,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29277,Subscriber,1993,1
3641,206,39:21.5,42:47.7,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,29461,Subscriber,1989,2
21066,934,59:25.8,15:00.3,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,26219,Subscriber,1956,1
17268,165,12:12.1,14:57.8,3202,Newport PATH,40.7272235,-74.03375890000001,3638,Washington St,40.7242941,-74.0354826,26253,Subscriber,1981,1
12696,166,50:31.0,53:17.5,3194,McGinley Square,40.72533993,-74.06762213,3679,Bergen Ave,40.72210379,-74.071455,29531,Subscriber,1964,1
43256,1066,09:25.5,27:12.1,3678,Fairmount Ave,40.72572614,-74.07195926,3638,Washington St,40.7242941,-74.0354826,29285,Customer,1986,1
20556,268,34:26.2,38:54.3,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29290,Subscriber,1973,1
17876,189,50:48.9,53:58.2,3202,Newport PATH,40.7272235,-74.03375890000001,3638,Washington St,40.7242941,-74.0354826,26316,Subscriber,1992,2
40242,828,54:44.3,08:32.7,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,26296,Subscriber,1974,2
674,432,58:57.3,06:10.1,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,26249,Subscriber,1992,1
38416,619,45:57.5,56:16.7,3281,Leonard Gordon Park,40.74590997,-74.05727148,3640,Journal Square,40.733670000000004,-74.0625,16803,Subscriber,1994,1
42269,366,55:58.5,02:05.3,3640,Journal Square,40.733670000000004,-74.0625,3281,Leonard Gordon Park,40.74590997,-74.05727148,26211,Subscriber,1994,1
38769,199,48:25.1,51:45.1,3481,York St,40.71649,-74.04105,3213,Van Vorst Park,40.71848892,-74.04772663,33602,Subscriber,1982,1
23685,196,22:36.4,25:52.9,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,29593,Subscriber,1996,1
8323,425,11:25.9,18:31.7,3186,Grove St PATH,40.71958612,-74.04311746,3267,Morris Canal,40.71241882,-74.03852552,29619,Subscriber,1988,1
105,1024,27:58.7,45:03.3,3183,Exchange Place,40.7162469,-74.0334588,3183,Exchange Place,40.7162469,-74.0334588,29515,Subscriber,1976,1
6820,198,43:19.7,46:38.1,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29547,Subscriber,1989,1
37899,462,31:58.1,39:41.0,3280,Astor Place,40.7192822,-74.07126188,3268,Lafayette Park,40.71346383,-74.06285852,29251,Subscriber,1953,2
35446,41173,35:08.6,01:22.1,3276,Marin Light Rail,40.71458404,-74.04281706,3184,Paulus Hook,40.7141454,-74.0335519,20727,Subscriber,1978,2
31727,264,37:52.3,42:16.3,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,29507,Subscriber,1974,2
27929,719,13:58.8,25:58.1,3220,5 Corners Library,40.73496102,-74.05950308,3678,Fairmount Ave,40.72572614,-74.07195926,33617,Subscriber,1981,2
10173,279,47:08.0,51:47.7,3187,Warren St,40.721123600000006,-74.03805095,3272,Jersey & 3rd,40.72333159,-74.04595256,29523,Subscriber,1996,2
29875,335,53:03.4,58:38.6,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,25738,Subscriber,1970,1
28495,715,49:35.2,01:30.2,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3183,Exchange Place,40.7162469,-74.0334588,26232,Subscriber,1971,1
36188,139,17:59.5,20:19.5,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,29231,Subscriber,1991,1
19472,807,17:50.0,31:17.1,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,29283,Customer,1969,0
20822,419,40:45.9,47:45.4,3203,Hamilton Park,40.72759597,-74.04424731,3185,City Hall,40.717732500000004,-74.04384499999999,29249,Subscriber,1956,1
33102,185,52:54.7,56:00.1,3272,Jersey & 3rd,40.72333159,-74.04595256,3269,Brunswick & 6th,40.72601173,-74.05038893,29250,Subscriber,1958,1
43168,314,36:17.6,41:32.0,3678,Fairmount Ave,40.72572614,-74.07195926,3195,Sip Ave,40.73074263,-74.06378388,29478,Subscriber,1994,2
29587,268,17:59.7,22:28.2,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.718355200000005,-74.03891444,26265,Subscriber,1960,1
37225,129,57:13.5,59:23.1,3279,Dixon Mills,40.72163014,-74.04996783,3213,Van Vorst Park,40.71848892,-74.04772663,26268,Subscriber,1985,1
4604,123,41:54.2,43:57.4,3185,City Hall,40.717732500000004,-74.04384499999999,3481,York St,40.71649,-74.04105,29199,Subscriber,1969,0
14361,316,36:31.6,41:48.0,3195,Sip Ave,40.73074263,-74.06378388,3678,Fairmount Ave,40.72572614,-74.07195926,29672,Subscriber,1954,1
17986,519,06:58.9,15:38.3,3202,Newport PATH,40.7272235,-74.03375890000001,3184,Paulus Hook,40.7141454,-74.0335519,26178,Subscriber,1964,1
22148,3668,26:35.1,27:44.1,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,29438,Subscriber,1971,2
31643,163,33:21.3,36:04.5,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,29614,Subscriber,1986,1
13793,480,56:18.4,04:18.6,3195,Sip Ave,40.73074263,-74.06378388,3679,Bergen Ave,40.72210379,-74.071455,29553,Subscriber,1986,2
39367,788,10:49.7,23:57.8,3638,Washington St,40.7242941,-74.0354826,3213,Van Vorst Park,40.71848892,-74.04772663,26189,Subscriber,1987,2
38820,246,19:02.7,23:08.9,3481,York St,40.71649,-74.04105,3183,Exchange Place,40.7162469,-74.0334588,26310,Subscriber,1968,2
14264,559,40:18.3,49:38.1,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,33662,Subscriber,1994,2
32980,124,15:48.4,17:53.3,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,33571,Subscriber,1991,1
42110,379,08:12.8,14:32.7,3640,Journal Square,40.733670000000004,-74.0625,3207,Oakland Ave,40.7376037,-74.05247829999999,26271,Subscriber,1979,1
27299,560,38:06.7,47:26.9,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3213,Van Vorst Park,40.71848892,-74.04772663,29466,Customer,1985,1
38272,379,10:55.5,17:15.3,3281,Leonard Gordon Park,40.74590997,-74.05727148,3201,Dey St,40.737711,-74.066921,33647,Subscriber,1990,1
4755,450,04:48.3,12:18.9,3185,City Hall,40.717732500000004,-74.04384499999999,3183,Exchange Place,40.7162469,-74.0334588,33557,Subscriber,1973,1
19392,754,46:51.7,59:26.1,3203,Hamilton Park,40.72759597,-74.04424731,3276,Marin Light Rail,40.71458404,-74.04281706,27558,Subscriber,1992,2
36872,677,26:01.4,37:18.9,3278,Monmouth and 6th,40.72568548,-74.04879034,3184,Paulus Hook,40.7141454,-74.0335519,33556,Subscriber,1983,1
5619,282,06:43.7,11:26.5,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,29294,Subscriber,1956,1
29239,206,22:10.0,25:36.4,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.718355200000005,-74.03891444,29494,Subscriber,1958,1
34976,1272,40:22.3,01:34.8,3276,Marin Light Rail,40.71458404,-74.04281706,3183,Exchange Place,40.7162469,-74.0334588,33617,Customer,1969,0
27165,246,57:18.3,01:24.7,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,26197,Subscriber,1988,1
5244,345,08:44.8,14:30.3,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,33622,Subscriber,1993,1
39143,506,16:16.7,24:43.2,3483,Montgomery St,40.71942,-74.05099,3267,Morris Canal,40.71241882,-74.03852552,29445,Subscriber,1993,1
15518,269,35:06.8,39:36.0,3198,Heights Elevator,40.74871595,-74.04044329999999,3196,Riverview Park,40.7443187,-74.04399090000001,26312,Subscriber,1990,1
11128,1556,33:04.0,59:00.2,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3205,JC Medical Center,40.71653978,-74.04963791,29121,Customer,1969,0
25529,1276,17:37.3,38:54.2,3211,Newark Ave,40.72152515,-74.04630454,3213,Van Vorst Park,40.71848892,-74.04772663,29623,Subscriber,1974,1
30166,815,37:50.9,51:26.1,3268,Lafayette Park,40.71346383,-74.06285852,3193,Lincoln Park,40.724605100000005,-74.07840595,29647,Subscriber,1950,1
28758,264,35:49.6,40:14.0,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,26431,Subscriber,1994,2
28303,623,28:44.3,39:07.6,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3183,Exchange Place,40.7162469,-74.0334588,29299,Subscriber,1994,1
36453,899,57:09.1,12:09.1,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3275,Columbus Drive,40.718355200000005,-74.03891444,26187,Subscriber,1992,1
41899,127,12:09.1,14:16.6,3639,Harborside,40.71925170000001,-74.034234,3275,Columbus Drive,40.718355200000005,-74.03891444,29199,Subscriber,1983,1
35797,314,53:41.8,58:56.5,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,33592,Subscriber,1977,2
28087,443,04:44.3,12:08.3,3220,5 Corners Library,40.73496102,-74.05950308,3281,Leonard Gordon Park,40.74590997,-74.05727148,26228,Subscriber,1982,1
521,1122,16:01.0,34:43.3,3183,Exchange Place,40.7162469,-74.0334588,3220,5 Corners Library,40.73496102,-74.05950308,29484,Subscriber,1992,1
18000,349,55:50.0,01:39.3,3202,Newport PATH,40.7272235,-74.03375890000001,3639,Harborside,40.71925170000001,-74.034234,29606,Subscriber,1984,2
14110,403,05:13.4,11:57.1,3195,Sip Ave,40.73074263,-74.06378388,3678,Fairmount Ave,40.72572614,-74.07195926,26196,Subscriber,1982,1
29766,526,48:19.6,57:06.2,3267,Morris Canal,40.71241882,-74.03852552,3638,Washington St,40.7242941,-74.0354826,29251,Subscriber,1978,2
17153,119,25:45.6,27:45.1,3202,Newport PATH,40.7272235,-74.03375890000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,33628,Subscriber,1980,2
