,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
9992,546,28:06.9,37:13.6,3207,Oakland Ave,40.7376037,-74.05247829999999,3279,Dixon Mills,40.72163014,-74.04996783,26190,Subscriber,1988,1
8119,468,52:52.6,00:41.3,3202,Newport PATH,40.7272235,-74.03375890000001,3186,Grove St PATH,40.71958612,-74.04311746,29288,Subscriber,1986,2
7699,500,47:52.8,56:13.1,3202,Newport PATH,40.7272235,-74.03375890000001,3203,Hamilton Park,40.72759597,-74.04424731,29656,Subscriber,1970,2
11900,126,14:24.9,16:31.8,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,29517,Subscriber,1970,1
18671,323,58:02.9,03:26.8,3639,Harborside,40.71925170000001,-74.034234,3211,Newark Ave,40.72152515,-74.04630454,26201,Subscriber,1987,1
764,722,05:08.5,17:10.6,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.721123600000006,-74.03805095,29661,Subscriber,1965,2
11189,494,14:46.2,23:01.0,3211,Newark Ave,40.72152515,-74.04630454,3183,Exchange Place,40.7162469,-74.0334588,29439,Subscriber,1987,2
6820,891,47:30.3,02:21.4,3196,Riverview Park,40.7443187,-74.04399090000001,3186,Grove St PATH,40.71958612,-74.04311746,29121,Subscriber,1987,1
15212,249,37:00.9,41:10.4,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,26300,Customer,1969,0
5586,243,51:33.2,55:36.6,3195,Sip Ave,40.73074263,-74.06378388,3677,Glenwood Ave,40.72755147,-74.07106072,26257,Subscriber,1994,2
906,195,51:38.2,54:53.7,3184,Paulus Hook,40.7141454,-74.0335519,3681,Grand St,40.71517768,-74.03768331,26161,Subscriber,1962,1
18494,582,43:06.2,52:49.2,3639,Harborside,40.71925170000001,-74.034234,3192,Liberty Light Rail,40.711242299999995,-74.0557013,29588,Subscriber,1984,1
16422,601,40:29.8,50:31.3,3278,Monmouth and 6th,40.72568548,-74.04879034,3211,Newark Ave,40.72152515,-74.04630454,29123,Subscriber,1955,2
15153,284,26:13.1,30:57.9,3273,Manila & 1st,40.72165072,-74.04288411,3183,Exchange Place,40.7162469,-74.0334588,29245,Subscriber,1980,1
14635,186,47:19.3,50:26.3,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,26297,Subscriber,1962,1
18408,1454,14:05.4,38:19.7,3639,Harborside,40.71925170000001,-74.034234,3639,Harborside,40.71925170000001,-74.034234,29658,Subscriber,1993,1
15964,281,19:46.2,24:28.0,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,29272,Subscriber,1990,1
6646,375,28:19.2,34:34.7,3195,Sip Ave,40.73074263,-74.06378388,3210,Pershing Field,40.74267714,-74.05178863,29213,Subscriber,1987,1
12975,666,37:45.7,48:51.9,3267,Morris Canal,40.71241882,-74.03852552,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,26293,Subscriber,1990,2
15416,167,13:33.6,16:21.2,3275,Columbus Drive,40.718355200000005,-74.03891444,3639,Harborside,40.71925170000001,-74.034234,29262,Subscriber,1992,1
7685,346,28:51.5,34:37.9,3202,Newport PATH,40.7272235,-74.03375890000001,3639,Harborside,40.71925170000001,-74.034234,29593,Subscriber,1989,1
11239,136,57:37.8,59:54.1,3211,Newark Ave,40.72152515,-74.04630454,3270,Jersey & 6th St,40.72528911,-74.04557168,29502,Subscriber,1991,2
