,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
6526,506,54:26.0,02:52.5,3202,Newport PATH,40.7272235,-74.03375890000001,3203,Hamilton Park,40.72759597,-74.04424731,31833,Subscriber,1982,1
7330,204,13:07.4,16:32.3,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,26272,Subscriber,1982,1
5870,227,30:56.5,34:44.5,3198,Heights Elevator,40.74871595,-74.04044329999999,3196,Riverview Park,40.7443187,-74.04399090000001,31822,Subscriber,1989,1
13775,429,40:11.0,47:20.3,3279,Dixon Mills,40.72163014,-74.04996783,3273,Manila & 1st,40.72165072,-74.04288411,31697,Subscriber,1990,2
5509,350,19:36.9,25:27.3,3195,Sip Ave,40.73074263,-74.06378388,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29237,Subscriber,1962,1
6208,397,38:08.4,44:45.5,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3203,Hamilton Park,40.72759597,-74.04424731,31776,Subscriber,1983,1
11159,323,40:52.7,46:16.6,3268,Lafayette Park,40.71346383,-74.06285852,3192,Liberty Light Rail,40.711242299999995,-74.0557013,26243,Subscriber,1968,1
8051,374,40:47.4,47:01.8,3205,JC Medical Center,40.71653978,-74.04963791,3273,Manila & 1st,40.72165072,-74.04288411,26297,Subscriber,1968,1
3186,538,40:38.9,49:37.3,3186,Grove St PATH,40.71958612,-74.04311746,3192,Liberty Light Rail,40.711242299999995,-74.0557013,29610,Subscriber,1969,1
4484,503,11:22.2,19:46.1,3193,Lincoln Park,40.724605100000005,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,31911,Subscriber,1983,1
7028,375,18:22.2,24:38.0,3202,Newport PATH,40.7272235,-74.03375890000001,3184,Paulus Hook,40.7141454,-74.0335519,31877,Subscriber,1981,1
2549,710,05:23.7,17:14.6,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,31719,Subscriber,1956,2
604,883,00:20.5,15:04.5,3183,Exchange Place,40.7162469,-74.0334588,3194,McGinley Square,40.72533993,-74.06762213,31825,Subscriber,1989,1
1980,270,45:39.8,50:10.7,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.05065640000001,31738,Subscriber,1980,1
12544,334,44:43.3,50:18.2,3273,Manila & 1st,40.72165072,-74.04288411,3184,Paulus Hook,40.7141454,-74.0335519,29595,Subscriber,1982,1
8504,1498,44:05.1,09:04.0,3207,Oakland Ave,40.7376037,-74.05247829999999,3207,Oakland Ave,40.7376037,-74.05247829999999,26229,Subscriber,1981,1
6038,600,34:25.5,44:25.8,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3638,Washington St,40.7242941,-74.0354826,29591,Subscriber,1972,1
284,483,13:29.3,21:32.4,3183,Exchange Place,40.7162469,-74.0334588,3279,Dixon Mills,40.72163014,-74.04996783,31705,Subscriber,1989,1
11911,1027,21:31.1,38:38.8,3270,Jersey & 6th St,40.72528911,-74.04557168,3213,Van Vorst Park,40.71848892,-74.04772663,29616,Subscriber,1981,1
12741,278,31:17.8,35:56.3,3275,Columbus Drive,40.718355200000005,-74.03891444,3276,Marin Light Rail,40.71458404,-74.04281706,31701,Subscriber,1931,2
6964,605,33:53.3,43:58.9,3202,Newport PATH,40.7272235,-74.03375890000001,3269,Brunswick & 6th,40.72601173,-74.05038893,31744,Subscriber,1990,1
5741,596,38:39.1,48:35.3,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.724605100000005,-74.07840595,31873,Subscriber,1984,1
10057,136,13:47.4,16:04.1,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,31689,Subscriber,1984,1
8663,272,00:54.7,05:26.8,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,31717,Subscriber,1981,1
12866,1768,30:26.5,59:54.8,3275,Columbus Drive,40.718355200000005,-74.03891444,3275,Columbus Drive,40.718355200000005,-74.03891444,26174,Subscriber,1972,1
2232,203,43:01.0,46:24.7,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29654,Subscriber,1976,1
10435,242,24:16.8,28:19.6,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,31777,Subscriber,1989,1
6542,144,12:46.3,15:11.2,3202,Newport PATH,40.7272235,-74.03375890000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,26239,Subscriber,1987,2
13865,157,15:12.6,17:49.7,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,29536,Subscriber,1982,1
13450,311,18:56.1,24:07.4,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,31753,Subscriber,1982,2
15042,219,52:10.8,55:50.0,3640,Journal Square,40.733670000000004,-74.0625,3201,Dey St,40.737711,-74.066921,29290,Subscriber,1973,1
6448,152,18:50.1,21:22.9,3202,Newport PATH,40.7272235,-74.03375890000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,29608,Subscriber,1995,2
13884,830,28:43.9,42:34.1,3279,Dixon Mills,40.72163014,-74.04996783,3279,Dixon Mills,40.72163014,-74.04996783,29577,Customer,1969,0
13922,126,30:13.2,32:19.9,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,31799,Subscriber,1975,1
13167,933,25:44.7,41:18.0,3276,Marin Light Rail,40.71458404,-74.04281706,3638,Washington St,40.7242941,-74.0354826,31694,Subscriber,1982,1
11312,311,19:06.1,24:17.6,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,31747,Subscriber,1991,1
