,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
8769,589,23:54.0,33:43.9,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3211,Newark Ave,40.72152515,-74.04630454,26193,Subscriber,1991,2
9453,637,44:24.2,55:01.7,3268,Lafayette Park,40.71346383,-74.06285852,3225,Baldwin at Montgomery,40.7236589,-74.0641943,26193,Subscriber,1977,2
2232,244,30:27.8,34:32.6,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,31686,Subscriber,1979,1
3028,343,38:26.0,44:09.8,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,31835,Subscriber,1983,1
9307,188,05:44.8,08:53.7,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31735,Subscriber,1984,1
1228,247,24:11.8,28:19.6,3185,City Hall,40.717732500000004,-74.04384499999999,3183,Exchange Place,40.7162469,-74.0334588,29642,Subscriber,1986,1
3434,274,40:44.2,45:18.9,3187,Warren St,40.721123600000006,-74.03805095,3481,York St,40.71649,-74.04105,31708,Subscriber,1988,1
9036,541,35:21.4,44:23.1,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,31836,Subscriber,1992,1
6373,405,22:47.7,29:33.4,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31759,Subscriber,1992,1
5661,219,55:07.9,58:47.5,3202,Newport PATH,40.7272235,-74.03375890000001,3275,Columbus Drive,40.718355200000005,-74.03891444,31686,Subscriber,1986,1
8084,330,34:46.3,40:16.4,3213,Van Vorst Park,40.71848892,-74.04772663,3183,Exchange Place,40.7162469,-74.0334588,31925,Subscriber,1989,1
8218,347,45:22.7,51:09.9,3213,Van Vorst Park,40.71848892,-74.04772663,3187,Warren St,40.721123600000006,-74.03805095,31949,Subscriber,1983,1
6022,269,15:34.7,20:04.5,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,29618,Subscriber,1980,2
12368,156,40:43.6,43:19.8,3639,Harborside,40.71925170000001,-74.034234,3187,Warren St,40.721123600000006,-74.03805095,31938,Subscriber,1993,1
4353,433,49:45.9,56:59.0,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,29577,Subscriber,1960,1
9977,312,36:27.9,41:40.0,3270,Jersey & 6th St,40.72528911,-74.04557168,3639,Harborside,40.71925170000001,-74.034234,29602,Subscriber,1954,1
1599,300,35:15.2,40:16.2,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,31840,Subscriber,1984,1
5033,532,38:10.5,47:03.2,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3183,Exchange Place,40.7162469,-74.0334588,31816,Subscriber,1989,2
605,1276,57:54.7,19:11.5,3183,Exchange Place,40.7162469,-74.0334588,3207,Oakland Ave,40.7376037,-74.05247829999999,31799,Subscriber,1981,1
2208,30997,43:45.0,20:22.1,3186,Grove St PATH,40.71958612,-74.04311746,3186,Grove St PATH,40.71958612,-74.04311746,31878,Subscriber,1975,1
2422,275,43:32.9,48:08.7,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,29598,Subscriber,1986,2
5351,350,43:23.4,49:13.9,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.73074263,-74.06378388,31867,Subscriber,1988,1
7161,278,50:23.4,55:01.4,3207,Oakland Ave,40.7376037,-74.05247829999999,3640,Journal Square,40.733670000000004,-74.0625,29617,Subscriber,1983,1
977,413,57:47.1,04:40.4,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.03375890000001,29600,Subscriber,1995,1
1656,259,59:16.6,03:36.3,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29610,Subscriber,1986,1
4189,359,21:38.2,27:38.0,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,31832,Subscriber,1970,1
6104,2507,32:40.6,14:28.3,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,29613,Subscriber,1987,1
2399,154,33:51.8,36:26.6,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,31766,Subscriber,1987,2
6431,247,24:50.6,28:58.3,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31870,Subscriber,1981,1
9385,157,52:33.9,55:11.0,3267,Morris Canal,40.71241882,-74.03852552,3184,Paulus Hook,40.7141454,-74.0335519,29582,Subscriber,1961,1
12149,509,22:14.8,30:43.9,3638,Washington St,40.7242941,-74.0354826,3209,Brunswick St,40.7241765,-74.05065640000001,31828,Subscriber,1975,2
