,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
17703,989,33:10.0,49:40.0,3202,Newport PATH,40.7272235,-74.03375890000001,3192,Liberty Light Rail,40.711242299999995,-74.0557013,29487,Customer,1969,0
37330,254,02:08.8,06:23.3,3483,Montgomery St,40.71942,-74.05099,3269,Brunswick & 6th,40.72601173,-74.05038893,33569,Subscriber,1989,2
37657,1981,59:04.2,32:05.3,3483,Montgomery St,40.71942,-74.05099,3483,Montgomery St,40.71942,-74.05099,26161,Subscriber,1969,1
12556,228,38:42.4,42:30.8,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,26223,Subscriber,1994,1
7733,357,03:31.1,09:28.2,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29229,Subscriber,1987,1
2877,211,12:11.6,15:43.0,3184,Paulus Hook,40.7141454,-74.0335519,3267,Morris Canal,40.71241882,-74.03852552,19239,Subscriber,1993,1
37004,253,16:19.6,20:32.7,3481,York St,40.71649,-74.04105,3481,York St,40.71649,-74.04105,33573,Subscriber,1976,1
2379,458,11:15.8,18:54.7,3184,Paulus Hook,40.7141454,-74.0335519,3209,Brunswick St,40.7241765,-74.05065640000001,33613,Subscriber,1994,1
625,414,19:58.7,26:53.2,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.721123600000006,-74.03805095,26227,Customer,1969,0
2870,526,55:23.3,04:09.8,3184,Paulus Hook,40.7141454,-74.0335519,3279,Dixon Mills,40.72163014,-74.04996783,26219,Subscriber,1989,1
13509,284,53:21.3,58:05.4,3195,Sip Ave,40.73074263,-74.06378388,3677,Glenwood Ave,40.72755147,-74.07106072,31151,Subscriber,1994,2
1935,484,13:35.1,21:39.7,3183,Exchange Place,40.7162469,-74.0334588,3186,Grove St PATH,40.71958612,-74.04311746,29125,Customer,1969,0
8641,131,52:18.9,54:30.9,3186,Grove St PATH,40.71958612,-74.04311746,3272,Jersey & 3rd,40.72333159,-74.04595256,26306,Subscriber,1981,1
37551,234,29:51.8,33:46.5,3483,Montgomery St,40.71942,-74.05099,3186,Grove St PATH,40.71958612,-74.04311746,29220,Subscriber,1985,1
9651,959,22:31.6,38:31.4,3187,Warren St,40.721123600000006,-74.03805095,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,29653,Subscriber,1991,1
7667,624,38:20.9,48:45.3,3186,Grove St PATH,40.71958612,-74.04311746,3268,Lafayette Park,40.71346383,-74.06285852,33575,Subscriber,1989,1
41287,433,09:37.2,16:50.8,3678,Fairmount Ave,40.72572614,-74.07195926,3640,Journal Square,40.733670000000004,-74.0625,29554,Subscriber,1992,1
3408,536,25:19.7,34:15.9,3185,City Hall,40.717732500000004,-74.04384499999999,3483,Montgomery St,40.71942,-74.05099,29285,Subscriber,1963,2
25522,174,04:34.3,07:28.6,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,26243,Subscriber,1989,1
27740,250,20:13.0,24:23.1,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.718355200000005,-74.03891444,26157,Subscriber,1993,1
38390,208,19:56.6,23:25.5,3638,Washington St,40.7242941,-74.0354826,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,26296,Subscriber,1984,1
