,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
12154,724,46:30.7,58:34.9,3195,Sip Ave,40.73074263,-74.06378388,3191,Union St,40.71821129999999,-74.08363940000001,29125,Subscriber,1962,1
35295,345,22:00.5,27:46.3,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.73074263,-74.06378388,33658,Subscriber,1988,1
28115,1155,52:01.5,11:16.6,3267,Morris Canal,40.71241882,-74.03852552,3640,Journal Square,40.733670000000004,-74.0625,33587,Subscriber,1993,1
36051,180,05:39.5,08:39.7,3481,York St,40.71649,-74.04105,3186,Grove St PATH,40.71958612,-74.04311746,26251,Subscriber,1978,1
13421,415,15:02.5,21:57.8,3195,Sip Ave,40.73074263,-74.06378388,3678,Fairmount Ave,40.72572614,-74.07195926,29448,Subscriber,1980,1
15688,1014,01:42.2,18:36.5,3201,Dey St,40.737711,-74.066921,3210,Pershing Field,40.74267714,-74.05178863,29222,Subscriber,1982,1
29052,63,25:51.9,26:55.7,3269,Brunswick & 6th,40.72601173,-74.05038893,3278,Monmouth and 6th,40.72568548,-74.04879034,26271,Subscriber,1978,1
39467,1191,59:07.5,18:59.4,3640,Journal Square,40.733670000000004,-74.0625,3183,Exchange Place,40.7162469,-74.0334588,29541,Subscriber,1983,1
12398,451,38:04.3,45:35.6,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,33669,Subscriber,1984,1
36430,685,35:11.6,46:36.8,3483,Montgomery St,40.71942,-74.05099,3225,Baldwin at Montgomery,40.7236589,-74.0641943,33556,Customer,1969,0
2666,546,15:44.0,24:50.8,3184,Paulus Hook,40.7141454,-74.0335519,3276,Marin Light Rail,40.71458404,-74.04281706,26195,Subscriber,1983,2
21877,359,56:39.4,02:38.9,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958612,-74.04311746,29506,Subscriber,1978,2
4020,497,51:13.4,59:30.9,3185,City Hall,40.717732500000004,-74.04384499999999,3192,Liberty Light Rail,40.711242299999995,-74.0557013,29470,Subscriber,1976,1
33525,409,59:10.6,06:00.1,3276,Marin Light Rail,40.71458404,-74.04281706,3183,Exchange Place,40.7162469,-74.0334588,29455,Subscriber,1965,2
25812,2038,33:06.4,07:04.6,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,33680,Subscriber,1992,2
39176,505,50:07.3,58:32.8,3640,Journal Square,40.733670000000004,-74.0625,3281,Leonard Gordon Park,40.74590997,-74.05727148,29443,Subscriber,1987,1
29398,301,25:06.6,30:07.8,3270,Jersey & 6th St,40.72528911,-74.04557168,3275,Columbus Drive,40.718355200000005,-74.03891444,29495,Subscriber,1991,2
31123,183,04:48.7,07:52.0,3273,Manila & 1st,40.72165072,-74.04288411,3187,Warren St,40.721123600000006,-74.03805095,29439,Subscriber,1969,0
35807,992,00:28.8,17:00.8,3281,Leonard Gordon Park,40.74590997,-74.05727148,3483,Montgomery St,40.71942,-74.05099,33556,Subscriber,1995,1
17131,109,57:36.3,59:25.7,3202,Newport PATH,40.7272235,-74.03375890000001,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,29448,Subscriber,1986,1
38077,157,29:25.9,32:03.3,3639,Harborside,40.71925170000001,-74.034234,3187,Warren St,40.721123600000006,-74.03805095,29285,Subscriber,1975,1
36027,165,58:07.7,00:53.3,3481,York St,40.71649,-74.04105,3183,Exchange Place,40.7162469,-74.0334588,29451,Subscriber,1980,1
25679,148,15:55.9,18:23.9,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3183,Exchange Place,40.7162469,-74.0334588,26291,Subscriber,1991,1
9649,209,52:07.9,55:37.7,3187,Warren St,40.721123600000006,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,33669,Subscriber,1987,1
31478,289,55:02.1,59:51.2,3273,Manila & 1st,40.72165072,-74.04288411,3203,Hamilton Park,40.72759597,-74.04424731,29304,Customer,1992,1
33707,1682,09:13.3,37:15.9,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,29597,Customer,1986,2
11764,637,56:45.8,07:22.8,3195,Sip Ave,40.73074263,-74.06378388,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,29663,Subscriber,1984,1
7524,755,28:27.1,41:03.0,3186,Grove St PATH,40.71958612,-74.04311746,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,26253,Subscriber,1992,1
22721,373,40:01.8,46:15.6,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074263,-74.06378388,29544,Subscriber,1981,1
23876,524,33:25.8,42:10.4,3211,Newark Ave,40.72152515,-74.04630454,3639,Harborside,40.71925170000001,-74.034234,33589,Subscriber,1978,1
19396,234,01:31.6,05:26.3,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,26271,Subscriber,1978,2
24904,249,10:28.4,14:37.7,3213,Van Vorst Park,40.71848892,-74.04772663,3481,York St,40.71649,-74.04105,26192,Subscriber,1962,2
30688,115,11:11.6,13:06.8,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,29551,Subscriber,1976,1
19940,320,38:04.7,43:25.0,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.03375890000001,29306,Subscriber,1973,2
37733,159,44:35.3,47:14.5,3639,Harborside,40.71925170000001,-74.034234,3187,Warren St,40.721123600000006,-74.03805095,29617,Subscriber,1979,1
6956,371,36:31.6,42:43.3,3186,Grove St PATH,40.71958612,-74.04311746,3481,York St,40.71649,-74.04105,26178,Subscriber,1976,2
18936,1229,41:43.6,02:13.4,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,33607,Subscriber,1986,1
3814,347,43:10.9,48:58.4,3185,City Hall,40.717732500000004,-74.04384499999999,3184,Paulus Hook,40.7141454,-74.0335519,33647,Subscriber,1990,1
10270,1520,50:44.1,16:04.6,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,26221,Customer,1969,0
36831,389,17:53.2,24:22.7,3638,Washington St,40.7242941,-74.0354826,3203,Hamilton Park,40.72759597,-74.04424731,29230,Subscriber,1992,2
14209,1238,32:33.9,53:12.2,3198,Heights Elevator,40.74871595,-74.04044329999999,3211,Newark Ave,40.72152515,-74.04630454,26219,Customer,1991,1
3410,487,35:38.6,43:46.1,3185,City Hall,40.717732500000004,-74.04384499999999,3203,Hamilton Park,40.72759597,-74.04424731,29554,Subscriber,1973,1
25639,188,31:59.2,35:07.7,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3681,Grand St,40.71517768,-74.03768331,33675,Subscriber,1968,1
14202,1462,22:29.3,46:52.3,3198,Heights Elevator,40.74871595,-74.04044329999999,3639,Harborside,40.71925170000001,-74.034234,26610,Subscriber,1988,1
8514,597,49:16.7,59:14.0,3186,Grove St PATH,40.71958612,-74.04311746,3212,Christ Hospital,40.73478582,-74.05044364,33612,Subscriber,1965,1
18944,295,02:26.7,07:22.5,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.03375890000001,26216,Subscriber,1995,1
3762,475,30:17.9,38:13.6,3185,City Hall,40.717732500000004,-74.04384499999999,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,29640,Subscriber,1977,1
11471,817,01:37.8,15:15.3,3194,McGinley Square,40.72533993,-74.06762213,3272,Jersey & 3rd,40.72333159,-74.04595256,29537,Subscriber,1981,1
9901,471,56:42.5,04:34.2,3191,Union St,40.71821129999999,-74.08363940000001,3678,Fairmount Ave,40.72572614,-74.07195926,26263,Subscriber,1987,2
