,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
10306,201,51:15.2,54:37.0,3211,Newark Ave,40.72152515,-74.04630454,3185,City Hall,40.717732500000004,-74.04384499999999,26295,Subscriber,1982,1
8607,114,57:19.8,59:14.0,3203,Hamilton Park,40.72759597,-74.04424731,3270,Jersey & 6th St,40.72528911,-74.04557168,26151,Subscriber,1982,1
14831,188,01:28.5,04:37.4,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,31828,Subscriber,1991,1
2278,232,38:47.1,42:39.2,3186,Grove St PATH,40.71958612,-74.04311746,3211,Newark Ave,40.72152515,-74.04630454,29465,Subscriber,1969,0
12501,443,13:56.9,21:20.1,3268,Lafayette Park,40.71346383,-74.06285852,3213,Van Vorst Park,40.71848892,-74.04772663,29598,Subscriber,1987,1
5950,670,54:30.8,05:40.8,3195,Sip Ave,40.73074263,-74.06378388,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,29491,Subscriber,1984,1
2087,190,04:34.1,07:44.8,3186,Grove St PATH,40.71958612,-74.04311746,3272,Jersey & 3rd,40.72333159,-74.04595256,29276,Subscriber,1978,1
10903,383,15:27.8,21:51.4,3213,Van Vorst Park,40.71848892,-74.04772663,3183,Exchange Place,40.7162469,-74.0334588,26288,Subscriber,1964,2
8116,1388,00:14.1,23:22.3,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31927,Subscriber,1976,1
8239,222,27:24.9,31:07.5,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,31687,Subscriber,1973,1
12373,359,04:57.0,10:56.3,3267,Morris Canal,40.71241882,-74.03852552,3185,City Hall,40.717732500000004,-74.04384499999999,29284,Subscriber,1979,1
10603,414,11:38.3,18:32.8,3212,Christ Hospital,40.73478582,-74.05044364,3640,Journal Square,40.733670000000004,-74.0625,26307,Subscriber,1986,2
12787,589,22:23.7,32:13.0,3269,Brunswick & 6th,40.72601173,-74.05038893,3183,Exchange Place,40.7162469,-74.0334588,29513,Subscriber,1979,1
1060,77,51:42.4,53:00.3,3184,Paulus Hook,40.7141454,-74.0335519,3183,Exchange Place,40.7162469,-74.0334588,29446,Subscriber,1970,1
2,76,26:17.9,27:34.7,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,29681,Subscriber,1975,1
1651,252,47:47.9,52:00.7,3185,City Hall,40.717732500000004,-74.04384499999999,3211,Newark Ave,40.72152515,-74.04630454,29602,Subscriber,1982,1
12647,282,51:02.2,55:45.1,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,29208,Subscriber,1992,1
9918,296,08:43.7,13:39.9,3210,Pershing Field,40.74267714,-74.05178863,3640,Journal Square,40.733670000000004,-74.0625,26214,Subscriber,1978,1
16320,154,48:49.8,51:24.6,3638,Washington St,40.7242941,-74.0354826,3639,Harborside,40.71925170000001,-74.034234,31776,Subscriber,1990,1
11848,528,10:59.6,19:48.0,3267,Morris Canal,40.71241882,-74.03852552,3202,Newport PATH,40.7272235,-74.03375890000001,31772,Subscriber,1981,0
1196,327,14:03.6,19:31.4,3184,Paulus Hook,40.7141454,-74.0335519,3186,Grove St PATH,40.71958612,-74.04311746,31832,Subscriber,1983,1
10974,184,27:48.4,30:52.8,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,26164,Subscriber,1989,1
16868,370,31:58.1,38:08.7,3639,Harborside,40.71925170000001,-74.034234,3202,Newport PATH,40.7272235,-74.03375890000001,31690,Subscriber,1991,1
5569,785,03:58.0,17:03.1,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,26197,Subscriber,1976,1
11691,625,43:48.9,54:14.8,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3638,Washington St,40.7242941,-74.0354826,29628,Subscriber,1978,1
8493,372,23:40.6,29:53.3,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.03375890000001,31816,Subscriber,1954,1
