,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
13031,488,40:54.6,49:03.0,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3183,Exchange Place,40.7162469,-74.0334588,29575,Subscriber,1975,1
11901,442,01:39.1,09:02.0,3198,Heights Elevator,40.74871595,-74.04044329999999,3206,Hilltop,40.7311689,-74.0575736,33569,Subscriber,1992,1
24189,175,41:07.4,44:03.0,3269,Brunswick & 6th,40.72601173,-74.05038893,3272,Jersey & 3rd,40.72333159,-74.04595256,26210,Subscriber,1978,1
33566,768,05:06.9,17:55.0,3678,Fairmount Ave,40.72572614,-74.07195926,3681,Grand St,40.71517768,-74.03768331,29455,Subscriber,1968,1
5290,240,15:46.4,19:46.9,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29267,Subscriber,1978,1
3530,399,38:24.4,45:04.3,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,29435,Customer,1969,0
31426,648,32:55.0,43:43.4,3638,Washington St,40.7242941,-74.0354826,3184,Paulus Hook,40.7141454,-74.0335519,29444,Subscriber,1982,1
20806,728,30:26.7,42:34.8,3213,Van Vorst Park,40.71848892,-74.04772663,3194,McGinley Square,40.72533993,-74.06762213,33594,Subscriber,1970,2
24191,227,24:06.8,27:54.6,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,29621,Subscriber,1980,1
18900,742,18:25.0,30:47.9,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074263,-74.06378388,26224,Subscriber,1977,1
9240,186,46:09.0,49:15.7,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,33658,Subscriber,1989,1
18924,645,55:28.1,06:13.2,3210,Pershing Field,40.74267714,-74.05178863,3269,Brunswick & 6th,40.72601173,-74.05038893,33615,Subscriber,1981,1
11453,442,08:26.9,15:49.1,3195,Sip Ave,40.73074263,-74.06378388,3280,Astor Place,40.7192822,-74.07126188,29463,Subscriber,1971,1
27002,312,39:59.8,45:11.9,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,29268,Subscriber,1994,2
32023,1185,25:31.6,45:16.6,3639,Harborside,40.71925170000001,-74.034234,3639,Harborside,40.71925170000001,-74.034234,26309,Subscriber,1993,0
33073,354,08:26.2,14:20.7,3640,Journal Square,40.733670000000004,-74.0625,3678,Fairmount Ave,40.72572614,-74.07195926,29521,Subscriber,1977,1
22613,422,16:42.7,23:45.5,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3213,Van Vorst Park,40.71848892,-74.04772663,26163,Subscriber,1978,1
20427,266,11:56.7,16:23.2,3212,Christ Hospital,40.73478582,-74.05044364,3206,Hilltop,40.7311689,-74.0575736,29240,Subscriber,1985,1
