,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
10756,257,21:01.3,25:19.1,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,29528,Subscriber,1986,1
9585,1277,48:55.8,10:12.9,3202,Newport PATH,40.7272235,-74.03375890000001,3269,Brunswick & 6th,40.72601173,-74.05038893,29635,Customer,1969,0
14778,183,32:58.5,36:02.1,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,29509,Subscriber,1967,2
7974,772,35:07.8,47:59.9,3195,Sip Ave,40.73074263,-74.06378388,3191,Union St,40.71821129999999,-74.08363940000001,29462,Subscriber,1962,1
10016,435,41:45.0,49:00.8,3202,Newport PATH,40.7272235,-74.03375890000001,3269,Brunswick & 6th,40.72601173,-74.05038893,29291,Subscriber,1985,2
10629,320,28:14.2,33:34.5,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.03375890000001,29452,Subscriber,1979,1
1155,267,12:42.3,17:09.4,3183,Exchange Place,40.7162469,-74.0334588,3681,Grand St,40.71517768,-74.03768331,29445,Subscriber,1986,1
15367,1108,12:58.1,31:26.3,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3186,Grove St PATH,40.71958612,-74.04311746,29484,Customer,1969,0
4423,252,17:05.7,21:17.9,3186,Grove St PATH,40.71958612,-74.04311746,3270,Jersey & 6th St,40.72528911,-74.04557168,29197,Subscriber,1958,2
12123,225,56:34.4,00:19.6,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,26184,Subscriber,1958,1
12079,85,57:46.8,59:12.1,3205,JC Medical Center,40.71653978,-74.04963791,3213,Van Vorst Park,40.71848892,-74.04772663,26199,Subscriber,1981,1
2606,334,31:27.0,37:01.0,3186,Grove St PATH,40.71958612,-74.04311746,3639,Harborside,40.71925170000001,-74.034234,29275,Subscriber,1961,1
23668,1285,02:28.6,23:53.8,3640,Journal Square,40.733670000000004,-74.0625,3210,Pershing Field,40.74267714,-74.05178863,29614,Subscriber,1974,2
19254,326,39:59.9,45:26.4,3275,Columbus Drive,40.718355200000005,-74.03891444,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,29619,Subscriber,1980,1
6673,509,20:16.8,28:46.1,3193,Lincoln Park,40.724605100000005,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,29243,Subscriber,1992,1
3237,197,51:32.7,54:50.1,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,26281,Subscriber,1976,1
5953,223,56:55.9,00:39.8,3187,Warren St,40.721123600000006,-74.03805095,3186,Grove St PATH,40.71958612,-74.04311746,29259,Subscriber,1983,1
1082,253,35:00.0,39:13.8,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,29209,Subscriber,1955,1
17602,206,57:02.3,00:29.3,3270,Jersey & 6th St,40.72528911,-74.04557168,3186,Grove St PATH,40.71958612,-74.04311746,29257,Subscriber,1976,1
17500,128,26:44.5,28:52.6,3270,Jersey & 6th St,40.72528911,-74.04557168,3273,Manila & 1st,40.72165072,-74.04288411,29299,Subscriber,1993,1
24781,709,24:54.9,36:44.8,3681,Grand St,40.71517768,-74.03768331,3681,Grand St,40.71517768,-74.03768331,26283,Subscriber,1987,1
5282,218,10:02.8,13:41.8,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,26188,Subscriber,1988,1
3129,220,20:26.2,24:07.1,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,28164,Subscriber,1986,1
2340,149,35:09.1,37:39.1,3185,City Hall,40.717732500000004,-74.04384499999999,3276,Marin Light Rail,40.71458404,-74.04281706,26300,Subscriber,1973,1
9069,115,14:54.4,16:49.6,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3202,Newport PATH,40.7272235,-74.03375890000001,29458,Subscriber,1978,2
4860,246,07:20.4,11:26.9,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29658,Subscriber,1991,1
8829,129,48:14.0,50:23.6,3198,Heights Elevator,40.74871595,-74.04044329999999,3196,Riverview Park,40.7443187,-74.04399090000001,29646,Subscriber,1992,1
9724,421,26:02.5,33:03.7,3202,Newport PATH,40.7272235,-74.03375890000001,3183,Exchange Place,40.7162469,-74.0334588,29304,Subscriber,1988,1
10850,686,25:20.4,36:47.2,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29596,Subscriber,1988,1
4537,315,06:29.2,11:44.3,3186,Grove St PATH,40.71958612,-74.04311746,3269,Brunswick & 6th,40.72601173,-74.05038893,29580,Subscriber,1977,1
14833,275,14:04.6,18:40.3,3213,Van Vorst Park,40.71848892,-74.04772663,3269,Brunswick & 6th,40.72601173,-74.05038893,29236,Subscriber,1980,1
1183,676,32:56.7,44:12.9,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,29212,Subscriber,1986,1
41,395,30:28.9,37:04.8,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,33598,Customer,1969,0
23537,218,44:23.7,48:01.7,3640,Journal Square,40.733670000000004,-74.0625,3201,Dey St,40.737711,-74.066921,29620,Subscriber,1966,1
17043,598,01:30.1,11:28.9,3269,Brunswick & 6th,40.72601173,-74.05038893,3276,Marin Light Rail,40.71458404,-74.04281706,26272,Subscriber,1989,1
10155,476,18:35.1,26:32.0,3202,Newport PATH,40.7272235,-74.03375890000001,3276,Marin Light Rail,40.71458404,-74.04281706,29284,Subscriber,1990,1
4750,246,34:01.7,38:08.6,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,29653,Subscriber,1976,2
20829,976,32:27.3,48:44.1,3279,Dixon Mills,40.72163014,-74.04996783,3677,Glenwood Ave,40.72755147,-74.07106072,29468,Customer,1990,1
7014,210,09:35.6,13:06.4,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,26191,Subscriber,1977,2
17114,263,21:11.0,25:34.3,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,29555,Subscriber,1991,1
10302,995,44:20.1,00:55.7,3202,Newport PATH,40.7272235,-74.03375890000001,3212,Christ Hospital,40.73478582,-74.05044364,29207,Subscriber,1988,1
20893,415,41:20.9,48:16.6,3279,Dixon Mills,40.72163014,-74.04996783,3183,Exchange Place,40.7162469,-74.0334588,26207,Subscriber,1949,1
3980,155,38:20.3,40:55.9,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,29674,Subscriber,1986,1
18011,154,52:06.0,54:40.0,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,29512,Subscriber,1978,2
4715,132,04:27.4,06:39.8,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,29572,Subscriber,1989,2
18655,835,43:57.6,57:53.2,3273,Manila & 1st,40.72165072,-74.04288411,3268,Lafayette Park,40.71346383,-74.06285852,26263,Subscriber,1991,1
11587,213,12:19.1,15:52.4,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,29583,Subscriber,1979,2
19922,143,13:13.5,15:37.3,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,29529,Subscriber,1980,1
10259,272,13:33.0,18:05.7,3202,Newport PATH,40.7272235,-74.03375890000001,3187,Warren St,40.721123600000006,-74.03805095,33781,Subscriber,1992,1
20329,382,27:58.5,34:20.8,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,29523,Customer,1983,2
14389,188,40:27.6,43:35.6,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,29442,Subscriber,1990,2
