,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
132,216,51:46.9,55:23.1,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.721123600000006,-74.03805095,29490,Subscriber,1975,1
4666,561,41:05.8,50:27.4,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.05065640000001,33660,Subscriber,1990,1
35355,335,00:36.1,06:11.3,3638,Washington St,40.7242941,-74.0354826,3184,Paulus Hook,40.7141454,-74.0335519,26189,Subscriber,1974,1
2639,351,59:00.2,04:51.9,3184,Paulus Hook,40.7141454,-74.0335519,3186,Grove St PATH,40.71958612,-74.04311746,29634,Subscriber,1979,1
4217,218,16:10.4,19:49.1,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.05065640000001,26189,Subscriber,1989,1
23138,250,19:12.3,23:23.2,3213,Van Vorst Park,40.71848892,-74.04772663,3209,Brunswick St,40.7241765,-74.05065640000001,26181,Subscriber,1967,1
29203,123,23:45.7,25:48.8,3273,Manila & 1st,40.72165072,-74.04288411,3272,Jersey & 3rd,40.72333159,-74.04595256,29272,Subscriber,1989,2
25186,362,50:45.1,56:47.9,3267,Morris Canal,40.71241882,-74.03852552,3185,City Hall,40.717732500000004,-74.04384499999999,33656,Subscriber,1960,1
34143,1084,44:20.6,02:25.4,3483,Montgomery St,40.71942,-74.05099,3203,Hamilton Park,40.72759597,-74.04424731,29258,Subscriber,1995,1
5697,251,05:25.4,09:36.9,3186,Grove St PATH,40.71958612,-74.04311746,3681,Grand St,40.71517768,-74.03768331,29212,Subscriber,1974,1
6587,419,45:19.9,52:19.0,3186,Grove St PATH,40.71958612,-74.04311746,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,33592,Subscriber,1983,1
9648,258,50:26.3,54:44.5,3187,Warren St,40.721123600000006,-74.03805095,3202,Newport PATH,40.7272235,-74.03375890000001,33840,Subscriber,1987,1
31410,230,12:04.1,15:54.6,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,33576,Subscriber,1983,1
7504,281,09:38.3,14:19.8,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,33602,Subscriber,1982,2
3224,448,13:34.2,21:02.3,3185,City Hall,40.717732500000004,-74.04384499999999,3639,Harborside,40.71925170000001,-74.034234,33679,Subscriber,1991,1
