,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
38054,507,05:20.6,13:48.3,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.73074263,-74.06378388,29629,Subscriber,1964,1
6119,238,51:58.7,55:57.4,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.05065640000001,26311,Subscriber,1978,2
17881,265,21:05.6,25:30.7,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29459,Subscriber,1978,2
1634,229,28:42.1,32:32.0,3183,Exchange Place,40.7162469,-74.0334588,3275,Columbus Drive,40.718355200000005,-74.03891444,29219,Subscriber,1973,1
14149,121,58:22.7,00:24.1,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3202,Newport PATH,40.7272235,-74.03375890000001,33674,Subscriber,1980,1
5484,301,56:11.5,01:13.1,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,29508,Subscriber,1973,1
34974,147,29:27.9,31:55.6,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.03375890000001,29228,Subscriber,1989,2
17411,461,54:56.9,02:38.5,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,29598,Subscriber,1990,2
27174,194,20:49.3,24:03.6,3269,Brunswick & 6th,40.72601173,-74.05038893,3203,Hamilton Park,40.72759597,-74.04424731,33635,Subscriber,1975,2
9445,658,48:35.8,59:34.8,3191,Union St,40.71821129999999,-74.08363940000001,3195,Sip Ave,40.73074263,-74.06378388,29224,Subscriber,1990,1
15478,435,05:45.5,13:01.3,3202,Newport PATH,40.7272235,-74.03375890000001,3183,Exchange Place,40.7162469,-74.0334588,33602,Subscriber,1991,1
15652,1272,35:06.9,56:19.2,3202,Newport PATH,40.7272235,-74.03375890000001,3203,Hamilton Park,40.72759597,-74.04424731,26173,Customer,1969,0
972,649,57:11.9,08:01.2,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,26249,Customer,1969,0
34687,367,31:25.4,37:33.0,3638,Washington St,40.7242941,-74.0354826,3681,Grand St,40.71517768,-74.03768331,26173,Subscriber,1983,1
2530,742,41:38.4,54:01.0,3184,Paulus Hook,40.7141454,-74.0335519,3681,Grand St,40.71517768,-74.03768331,29675,Subscriber,1974,1
4794,114,23:30.0,25:24.8,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,27558,Subscriber,1982,1
22545,308,14:33.5,19:41.8,3212,Christ Hospital,40.73478582,-74.05044364,3206,Hilltop,40.7311689,-74.0575736,29620,Subscriber,1994,2
38489,133,35:05.7,37:19.6,3681,Grand St,40.71517768,-74.03768331,3275,Columbus Drive,40.718355200000005,-74.03891444,29653,Subscriber,1994,1
14536,923,52:44.1,08:07.7,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,29265,Subscriber,1980,1
8565,606,50:25.4,00:31.5,3187,Warren St,40.721123600000006,-74.03805095,3213,Van Vorst Park,40.71848892,-74.04772663,26173,Subscriber,1978,1
1683,801,05:33.5,18:54.7,3183,Exchange Place,40.7162469,-74.0334588,3192,Liberty Light Rail,40.711242299999995,-74.0557013,26179,Subscriber,1982,1
1330,185,17:33.0,20:38.2,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,29591,Subscriber,1990,2
21214,476,50:30.9,58:27.7,3210,Pershing Field,40.74267714,-74.05178863,3640,Journal Square,40.733670000000004,-74.0625,29127,Subscriber,1969,0
36931,598,24:55.9,34:54.0,3640,Journal Square,40.733670000000004,-74.0625,3281,Leonard Gordon Park,40.74590997,-74.05727148,29618,Subscriber,1984,1
7395,287,41:26.1,46:13.2,3186,Grove St PATH,40.71958612,-74.04311746,3278,Monmouth and 6th,40.72568548,-74.04879034,29273,Subscriber,1988,2
20759,293,14:08.8,19:01.9,3209,Brunswick St,40.7241765,-74.05065640000001,3273,Manila & 1st,40.72165072,-74.04288411,29639,Subscriber,1991,2
28231,144,50:09.6,52:33.6,3272,Jersey & 3rd,40.72333159,-74.04595256,3278,Monmouth and 6th,40.72568548,-74.04879034,29537,Subscriber,1977,1
30733,270,16:47.5,21:17.6,3276,Marin Light Rail,40.71458404,-74.04281706,3183,Exchange Place,40.7162469,-74.0334588,26265,Subscriber,1987,1
321,248,10:17.9,14:26.6,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,32259,Subscriber,1981,0
25648,306,16:31.5,21:37.5,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,26178,Subscriber,1980,2
32863,397,49:28.3,56:05.6,3279,Dixon Mills,40.72163014,-74.04996783,3203,Hamilton Park,40.72759597,-74.04424731,26181,Subscriber,1985,1
36306,524,16:43.0,25:27.2,3639,Harborside,40.71925170000001,-74.034234,3213,Van Vorst Park,40.71848892,-74.04772663,26312,Subscriber,1959,2
